date,ind10,bse,int_bond,int_stock
2007-01-03,7.536,13942.24,56.795147,2423.159912
2007-01-04,7.54,14014.92,57.139477,2453.429932
2007-01-05,7.584,13871.71,56.89082,2434.25
2007-01-08,7.555,13860.52,56.992863,2438.199951
2007-01-09,7.49,13652.15,56.992863,2443.830078
2007-01-10,7.51,13566.33,56.737785,2459.330078
2007-01-11,7.537,13362.16,56.406101,2484.850098
2007-01-12,7.537,13630.71,56.144718,2502.820068
2007-01-16,7.927,14056.53,56.265854,2497.780029
2007-01-17,7.792,14129.64,56.093643,2479.419922
2007-01-18,7.766,14114.73,56.265854,2443.209961
2007-01-19,7.81,14131.34,56.112804,2451.310059
2007-01-22,7.81,14217.75,56.246746,2431.070068
2007-01-23,7.807,14182.71,55.876835,2431.409912
2007-01-24,7.908,14209.24,55.870472,2466.280029
2007-01-25,7.873,14041.24,55.468719,2434.23999
2007-01-26,7.896,14110.46,55.424103,2435.48999
2007-01-29,7.883,14282.72,55.302868,2441.090088
2007-01-30,7.9,14211.96,55.366688,2448.639893
2007-01-31,7.738,14090.92,55.83223,2463.929932
2007-02-01,7.699,14267.18,55.764973,2468.379883
2007-02-02,7.716,14403.77,55.835407,2475.879883
2007-02-05,7.752,14515.9,55.912266,2470.600098
2007-02-06,7.749,14478.19,56.219578,2471.48999
2007-02-07,7.791,14643.13,56.386097,2490.5
2007-02-08,7.808,14652.09,56.430885,2488.669922
2007-02-09,7.826,14538.9,56.110725,2459.820068
2007-02-12,7.921,14190.7,55.982719,2450.379883
2007-02-13,8.083,14090.98,55.861027,2459.879883
2007-02-14,8.073,14009.9,56.392517,2488.379883
2007-02-15,8.016,14355.55,56.558952,2497.100098
2007-02-16,8.003,14402.9,56.757462,2496.310059
2007-02-20,7.925,14253.38,56.885517,2513.040039
2007-02-21,7.957,14188.49,56.78949,2518.419922
2007-02-22,7.935,14021.31,56.482113,2524.939941
2007-02-23,7.892,13632.53,56.885517,2515.100098
2007-02-26,7.898,13649.52,57.263321,2504.52002
2007-02-27,8,13478.83,57.986877,2407.860107
2007-02-28,7.935,12938.09,57.724312,2416.149902
2007-03-01,7.949,13159.55,57.68771,2404.209961
2007-03-02,7.979,12886.13,57.976902,2368
2007-03-05,7.956,12415.04,58.073338,2340.679932
2007-03-06,7.953,12697.09,57.899811,2385.139893
2007-03-07,8.004,12579.75,58.124786,2374.639893
2007-03-08,8.001,13049.35,58.073338,2387.72998
2007-03-09,7.949,12884.99,57.462746,2387.550049
2007-03-12,7.971,12902.63,57.68771,2402.290039
2007-03-13,7.969,12982.98,58.034782,2350.570068
2007-03-14,7.993,12529.62,57.771271,2371.73999
2007-03-15,8.023,12543.85,57.764774,2378.699951
2007-03-16,8.067,12430.4,57.751907,2372.659912
2007-03-19,8.052,12644.99,57.629856,2394.409912
2007-03-20,7.948,12705.94,57.661995,2408.209961
2007-03-21,7.951,12945.88,57.68771,2455.919922
2007-03-22,7.996,13308.03,57.231335,2451.73999
2007-03-23,7.982,13285.93,57.070679,2448.929932
2007-03-26,7.97,13124.32,57.141338,2455.629883
2007-03-27,8.022,12884.34,57.044933,2437.429932
2007-03-28,8.183,12979.66,56.929249,2417.100098
2007-03-29,8.16,13072.1,56.852112,2417.879883
2007-03-30,8.183,12455.37,56.742828,2421.639893
2007-04-02,8.12,12624.58,56.837048,2422.26001
2007-04-03,8.024,12786.77,56.766079,2450.330078
2007-04-04,8.047,12856.08,56.824089,2458.689941
2007-04-05,8.078,13177.74,56.611263,2471.340088
2007-04-09,8.105,13189.54,56.237015,2469.179932
2007-04-10,8.105,13183.24,56.404793,2477.610107
2007-04-11,8.108,13113.81,56.3661,2459.310059
2007-04-12,8.075,13384.08,56.378956,2480.320068
2007-04-13,8.096,13695.58,56.204826,2491.939941
2007-04-16,8.067,13607.04,56.514465,2518.330078
2007-04-17,8.1,13672.19,56.830563,2516.949951
2007-04-18,8.003,13619.7,57.114449,2510.5
2007-04-19,7.98,13897.41,57.017643,2505.350098
2007-04-20,8.052,13928.33,56.869293,2526.389893
2007-04-23,8.142,14136.72,57.075756,2523.669922
2007-04-24,8.173,14217.77,57.288654,2524.540039
2007-04-25,8.15,14228.88,57.088615,2547.889893
2007-04-26,8.159,13908.58,56.675777,2554.459961
2007-04-27,8.159,13872.37,56.662838,2557.209961
2007-04-30,8.114,14078.21,57.256359,2525.090088
2007-05-01,8.082,13934.27,57.297775,2531.530029
2007-05-02,8.122,13879.25,57.265434,2557.840088
2007-05-03,8.167,13765.46,57.135944,2565.459961
2007-05-04,8.151,13781.51,57.369041,2572.149902
2007-05-07,8.122,13771.23,57.524467,2570.949951
2007-05-08,8.104,13796.16,57.394947,2571.75
2007-05-09,8.123,13965.86,57.16832,2576.340088
2007-05-10,8.154,13929.33,57.304253,2533.73999
2007-05-11,8.09,14127.31,57.103565,2562.219971
2007-05-14,8.113,14299.71,56.954613,2546.439941
2007-05-15,8.143,14303.41,56.935253,2525.290039
2007-05-16,8.156,14418.6,56.896347,2547.419922
2007-05-17,8.136,14453.72,56.663227,2539.379883
2007-05-18,8.071,14363.26,56.287735,2558.449951
2007-05-21,8.104,14218.11,56.456062,2578.790039
2007-05-22,8.101,14338.45,56.164669,2588.02002
2007-05-23,8.08,14397.89,56.002827,2577.050049
2007-05-24,8.077,14508.21,56.054588,2537.919922
2007-05-25,8.086,14411.38,55.925095,2557.189941
2007-05-29,8.092,14544.46,55.918633,2572.060059
2007-05-30,8.136,14570.75,56.035168,2592.590088
2007-05-31,8.103,14495.77,55.931568,2604.52002
2007-06-01,8.138,14535.01,55.637772,2613.919922
2007-06-04,8.345,14255.93,55.891273,2618.290039
2007-06-05,8.379,14186.18,55.540264,2611.22998
2007-06-06,8.411,14063.81,55.514252,2587.179932
2007-06-07,8.331,14083.41,54.51963,2541.379883
2007-06-08,8.288,14130.95,54.474152,2573.540039
2007-06-11,8.202,14003.03,54.318195,2572.149902
2007-06-12,8.221,14203.72,53.531574,2549.77002
2007-06-13,8.249,14162.71,54.168659,2582.310059
2007-06-14,8.235,14080.14,54.032177,2599.409912
2007-06-15,8.229,14295.5,54.402691,2626.709961
2007-06-18,8.183,14411.95,54.292133,2626.600098
2007-06-19,8.206,14499.24,54.799198,2626.76001
2007-06-20,8.238,14467.36,54.357178,2599.959961
2007-06-21,8.194,14487.72,54.097137,2616.959961
2007-06-22,8.187,14501.08,54.448204,2588.959961
2007-06-25,8.111,14431.06,54.747196,2577.080078
2007-06-26,8.097,14504.57,54.760204,2574.159912
2007-06-27,8.028,14650.51,54.812145,2605.350098
2007-06-28,8.007,14664.26,54.799198,2608.370117
2007-06-29,8.01,14806.51,55.364773,2603.22998
2007-07-02,7.925,14880.24,55.655754,2632.300049
2007-07-03,7.939,14861.89,55.316456,2644.949951
2007-07-05,7.925,14964.12,54.696529,2656.649902
2007-07-06,7.916,15045.73,54.474689,2666.51001
2007-07-09,7.939,15009.88,54.670406,2670.02002
2007-07-10,7.914,14910.62,55.59705,2639.159912
2007-07-11,7.843,15092.04,55.022793,2651.790039
2007-07-12,7.784,15272.72,54.833546,2701.72998
2007-07-13,7.831,15311.22,54.983677,2707
2007-07-16,7.808,15289.82,55.512203,2697.330078
2007-07-17,7.747,15301.17,55.394749,2712.290039
2007-07-18,7.775,15550.13,55.603565,2699.48999
2007-07-19,7.825,15565.55,55.5905,2720.040039
2007-07-20,7.804,15732.2,56.092979,2687.600098
2007-07-23,7.834,15794.92,56.001633,2690.580078
2007-07-24,7.776,15699.33,56.210449,2639.860107
2007-07-25,7.845,15776.31,56.32135,2648.169922
2007-07-26,7.897,15234.57,56.791195,2599.340088
2007-07-27,7.891,15260.91,56.954346,2562.23999
2007-07-30,7.86,15550.99,56.791195,2583.280029
2007-07-31,7.852,14935.77,57.202305,2546.27002
2007-08-01,7.826,14985.7,57.078526,2553.870117
2007-08-02,7.906,15138.4,57.222599,2575.97998
2007-08-03,7.991,14903.03,57.602585,2511.25
2007-08-06,7.983,14932.77,57.183266,2547.330078
2007-08-07,7.977,15307.98,57.137451,2561.600098
2007-08-08,7.988,15100.15,56.44302,2612.97998
2007-08-09,8.036,14868.25,56.521626,2556.48999
2007-08-10,7.999,15017.21,56.390636,2544.889893
2007-08-13,7.958,15000.91,56.554417,2542.23999
2007-08-14,7.912,14358.21,56.705093,2499.120117
2007-08-15,7.931,14141.52,56.501991,2458.830078
2007-08-16,7.937,14427.55,57.085003,2451.070068
2007-08-17,7.928,13989.11,56.855755,2505.030029
2007-08-20,7.939,14248.66,56.888538,2508.590088
2007-08-21,7.952,14163.98,57.163662,2521.300049
2007-08-22,7.97,14424.87,57.071945,2552.800049
2007-08-23,7.93,14842.38,57.268425,2541.699951
2007-08-24,7.902,14919.19,57.550171,2576.689941
2007-08-27,7.917,14993.04,57.851536,2561.25
2007-08-28,7.928,15121.74,57.949795,2500.639893
2007-08-29,7.92,15318.6,57.792572,2563.159912
2007-08-30,7.896,15422.05,58.179001,2565.300049
2007-08-31,7.864,15465.4,58.224918,2596.360107
2007-09-04,7.896,15446.15,58.252552,2630.23999
2007-09-05,7.896,15616.31,58.719547,2605.949951
2007-09-06,7.898,15590.42,58.568275,2614.320068
2007-09-07,7.886,15596.83,59.397068,2565.699951
2007-09-10,7.892,15542.77,59.857517,2559.110107
2007-09-11,7.886,15505.36,59.811455,2597.469971
2007-09-12,7.862,15614.44,59.587879,2592.070068
2007-09-13,7.844,15603.8,59.054993,2601.060059
2007-09-14,7.859,15504.43,59.140514,2602.179932
2007-09-17,7.887,15669.12,59.423378,2581.659912
2007-09-18,7.927,16322.75,58.976093,2651.659912
2007-09-19,7.923,16347.95,58.430161,2666.47998
2007-09-20,7.928,16564.23,57.325077,2654.290039
2007-09-21,7.925,16845.83,57.811829,2671.219971
2007-09-24,7.919,16899.54,57.976254,2667.949951
2007-09-25,7.898,16921.39,57.772362,2683.449951
2007-09-26,7.893,17150.56,57.824982,2699.030029
2007-09-27,7.908,17291.1,58.226227,2709.590088
2007-09-28,7.913,17328.62,58.357758,2701.5
2007-10-01,7.941,17847.04,58.691242,2740.98999
2007-10-02,7.926,17777.14,58.876152,2747.110107
2007-10-03,7.901,17773.36,58.704479,2729.429932
2007-10-04,7.893,17491.39,58.928963,2733.570068
2007-10-05,7.904,18280.24,58.295044,2780.320068
2007-10-08,7.902,18658.25,58.248802,2787.370117
2007-10-09,7.908,18814.07,58.176186,2803.909912
2007-10-10,7.912,18419.04,58.20924,2811.610107
2007-10-11,7.927,19058.67,58.149773,2772.199951
2007-10-12,7.914,19051.86,57.865833,2805.679932
2007-10-15,7.898,18715.82,57.879028,2780.050049
2007-10-16,7.898,17998.39,57.898849,2763.909912
2007-10-17,7.863,17559.98,58.532749,2792.669922
2007-10-18,7.823,17613.99,58.8563,2799.310059
2007-10-19,7.831,18492.84,59.734573,2725.159912
2007-10-22,7.819,18512.91,59.741203,2753.929932
2007-10-23,7.822,18770.89,59.661938,2799.26001
2007-10-24,7.823,19243.17,60.104359,2774.76001
2007-10-25,7.816,19977.67,59.89975,2750.860107
2007-10-26,7.86,19783.51,59.761005,2804.189941
2007-10-29,7.839,19837.99,59.992096,2817.439941
2007-10-30,7.859,19724.35,59.959106,2816.709961
2007-10-31,7.859,19976.23,59.417656,2859.120117
2007-11-01,7.857,19590.78,60.189648,2794.830078
2007-11-02,7.868,19400.67,60.381969,2810.379883
2007-11-05,7.896,19289.83,60.35545,2795.179932
2007-11-06,7.896,19058.93,60.063614,2825.179932
2007-11-07,7.914,18907.6,60.169765,2748.76001
2007-11-08,7.935,18737.27,60.063614,2696
2007-11-09,7.923,19035.48,60.57436,2627.939941
2007-11-12,7.887,19929.06,60.793205,2584.129883
2007-11-13,7.875,19784.89,60.567688,2673.649902
2007-11-14,7.883,19698.36,60.634048,2644.320068
2007-11-15,7.881,19633.36,61.204445,2618.51001
2007-11-16,7.881,19280.8,61.290638,2637.23999
2007-11-19,7.875,18602.62,61.688587,2593.379883
2007-11-20,7.875,18526.32,61.622276,2596.810059
2007-11-21,7.886,18852.87,61.980412,2562.149902
2007-11-23,7.884,19247.54,62.166122,2596.600098
2007-11-26,7.89,19127.73,63.393169,2540.98999
2007-11-27,7.89,18938.87,62.789558,2580.800049
2007-11-28,7.896,19003.26,62.365063,2662.909912
2007-11-29,7.922,19363.19,62.902336,2668.129883
2007-11-30,7.923,19603.41,62.597214,2660.959961
2007-12-03,7.905,19529.5,63.094025,2637.129883
2007-12-04,7.908,19738.07,63.087379,2619.830078
2007-12-05,7.881,19795.87,62.334881,2666.360107
2007-12-06,7.883,19966,61.788853,2709.030029
2007-12-07,7.869,19930.68,61.096336,2706.159912
2007-12-10,7.878,20290.89,60.730034,2718.949951
2007-12-11,7.874,20375.87,61.922016,2652.350098
2007-12-12,7.869,20104.39,61.282745,2671.139893
2007-12-13,7.877,20030.83,60.616825,2668.48999
2007-12-14,7.883,19261.35,60.33717,2635.73999
2007-12-17,7.878,19079.64,60.876575,2574.459961
2007-12-18,7.885,19091.96,61.26947,2596.030029
2007-12-19,7.9,19162.57,62.081829,2601.01001
2007-12-20,7.897,19854.12,61.948639,2640.860107
2007-12-21,7.898,20192.52,61.043056,2691.98999
2007-12-24,7.892,20216.72,60.756729,2713.5
2007-12-26,7.882,20206.95,60.223984,2724.409912
2007-12-27,7.871,20286.99,60.880512,2676.790039
2007-12-28,7.868,20300.71,61.82991,2674.459961
2007-12-31,7.864,20465.3,62.204292,2652.280029
2008-01-02,7.87,20345.2,63.10022,2609.629883
2008-01-03,7.856,20686.89,63.013241,2602.679932
2008-01-04,7.811,20812.65,63.026615,2504.649902
2008-01-07,7.81,20873.33,63.300743,2499.459961
2008-01-08,7.791,20869.78,63.227226,2440.51001
2008-01-09,7.746,20582.08,63.347576,2474.550049
2008-01-10,7.746,20827.45,62.491764,2488.52002
2008-01-11,7.755,20728.05,62.979851,2439.939941
2008-01-14,7.706,20251.09,63.21386,2478.300049
2008-01-15,7.707,19868.11,63.92252,2417.590088
2008-01-16,7.66,19700.82,63.461235,2394.590088
2008-01-17,7.673,19013.7,64.283577,2346.899902
2008-01-18,7.654,17605.35,63.842304,2340.02002
2008-01-22,7.586,16729.94,64.524208,2292.27002
2008-01-23,7.563,17594.07,64.377159,2316.409912
2008-01-24,7.563,17221.74,63.0868,2360.919922
2008-01-25,7.544,18361.66,64.149872,2326.199951
2008-01-28,7.556,18152.78,63.909149,2349.909912
2008-01-29,7.563,18091.94,63.474586,2358.060059
2008-01-30,7.554,17758.64,63.060043,2349
2008-01-31,7.551,17648.71,63.508045,2389.860107
2008-02-01,7.54,18242.58,63.88979,2413.360107
2008-02-04,7.467,18660.32,63.232273,2382.850098
2008-02-05,7.385,18663.16,63.715328,2309.570068
2008-02-06,7.379,18139.49,63.520676,2278.75
2008-02-07,7.431,17526.93,62.152115,2293.030029
2008-02-08,7.438,17464.89,62.863266,2304.850098
2008-02-11,7.542,16630.91,63.12492,2320.060059
2008-02-12,7.559,16608.01,62.749203,2320.040039
2008-02-13,7.529,16949.14,62.084995,2373.929932
2008-02-14,7.487,17766.63,61.172588,2332.540039
2008-02-15,7.496,18115.25,61.642227,2321.800049
2008-02-19,7.515,18048.05,61.018299,2306.199951
2008-02-20,7.518,18075.66,61.440964,2327.100098
2008-02-21,7.488,17617.6,62.091732,2299.780029
2008-02-22,7.473,17734.68,61.736164,2303.350098
2008-02-25,7.47,17349.07,61.105515,2327.47998
2008-02-26,7.464,17650.57,61.125645,2344.98999
2008-02-27,7.439,17806.19,61.179359,2353.780029
2008-02-28,7.453,17825.99,62.266209,2331.570068
2008-02-29,7.455,17824.48,63.218842,2271.47998
2008-03-03,7.464,17578.72,63.055912,2258.600098
2008-03-04,7.503,16677.88,62.443138,2260.280029
2008-03-05,7.512,16339.89,61.695675,2272.810059
2008-03-06,7.543,16542.08,62.025616,2220.5
2008-03-07,7.562,15975.52,62.106392,2212.48999
2008-03-10,7.645,15923.72,63.022213,2169.340088
2008-03-11,7.583,16123.15,62.483532,2255.76001
2008-03-12,7.679,16127.98,63.688892,2243.870117
2008-03-13,7.692,15357.35,63.190575,2263.610107
2008-03-14,7.64,15760.52,63.971706,2212.48999
2008-03-17,7.631,14809.49,64.463295,2177.01001
2008-03-18,7.629,14833.46,64.214119,2268.26001
2008-03-19,7.602,14994.83,65.278084,2209.959961
2008-03-20,7.568,15289.4,65.439659,2258.110107
2008-03-24,7.524,16217.49,64.173721,2326.75
2008-03-25,7.582,16086.83,64.443054,2341.050049
2008-03-26,7.551,16015.56,64.173721,2324.360107
2008-03-27,7.59,16371.29,63.722565,2280.830078
2008-03-28,7.585,15644.44,64.342087,2261.179932
2008-03-31,7.62,15626.62,64.57103,2279.100098
2008-04-01,7.604,15750.4,63.52013,2362.75
2008-04-02,7.559,15832.55,63.65538,2361.399902
2008-04-03,7.569,15343.12,63.797394,2363.300049
2008-04-04,7.63,15757.08,64.378967,2370.97998
2008-04-07,7.624,15587.62,64.040817,2364.830078
2008-04-08,7.633,15790.51,63.817684,2348.76001
2008-04-09,7.593,15695.1,64.480354,2322.120117
2008-04-10,7.621,15807.64,64.264046,2351.699951
2008-04-11,7.72,16153.66,64.696861,2290.23999
2008-04-14,7.723,16244.19,64.318108,2275.820068
2008-04-15,7.768,16481.2,63.52013,2286.040039
2008-04-16,7.773,16739.33,62.897953,2350.110107
2008-04-17,7.874,16783.87,62.789783,2341.830078
2008-04-18,7.938,16698.04,62.735691,2402.969971
2008-04-21,7.931,16721.08,62.985836,2408.040039
2008-04-22,7.887,17125.98,63.202305,2376.939941
2008-04-23,7.985,17015.96,62.992699,2405.209961
2008-04-24,7.99,17378.46,62.458397,2428.919922
2008-04-25,7.945,17287.31,62.093246,2422.929932
2008-04-28,7.925,17600.12,62.282562,2424.399902
2008-04-29,7.964,17490.9,62.519272,2426.100098
2008-04-30,8.034,17373.01,62.965595,2412.800049
2008-05-01,8.018,17339.31,62.969669,2480.709961
2008-05-02,8.08,17080.65,62.175571,2476.98999
2008-05-05,8.118,16737.07,62.175571,2464.120117
2008-05-06,8.178,16860.9,61.727661,2483.310059
2008-05-07,8.165,16752.86,61.992359,2438.48999
2008-05-08,8.186,16978.35,62.548908,2451.23999
2008-05-09,8.194,17353.54,62.779625,2445.52002
2008-05-12,8.175,17434.94,62.684601,2488.48999
2008-05-13,8.141,17230.18,61.999107,2495.120117
2008-05-14,8.004,17243.16,62.026299,2496.699951
2008-05-15,7.956,16907.11,62.589592,2533.72998
2008-05-16,7.903,16649.64,62.331673,2528.850098
2008-05-19,7.876,16348.5,62.413174,2516.090088
2008-05-20,7.89,16275.59,62.738892,2492.26001
2008-05-21,7.925,16525.37,62.752445,2448.27002
2008-05-22,7.944,16316.26,62.012672,2464.580078
